,title,price,link
10,"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1694IN  ","59,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNDE1NTg5ODU2ODYwNTg3OjE3MjI5NTIwNDg6c3BfYnRmOjMwMDI4MjkwMTIwMTgzMjo6MDo6&url=%2FMSI-i7-12650H-Windows-GeForce-B12UCX-1694IN%2Fdp%2FB0CV9S7ZV6%2Fref%3Dsr_1_70_sspa%3Fcrid%3D38NAIC5XOXF0C%26dib%3DeyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722952048%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
11,"Lenovo IdeaPad 3 12th Gen Intel Core i5-1235U 15.6"" (39.62cm) FHD Thin and Light Laptop (8GB/512GB SDD/Windows 11/Office 2021/Backlit/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK00EDIN  ","45,999",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDQwNjYzNTQyODQ0OTY6MTcyMjk1MjA1MzpzcF9hdGZfbmV4dDozMDAwNTA0MzEwMjg3MzI6OjA6Og&url=%2FLenovo-i5-1235U-Anti-Glare-Warranty-82RK00EDIN%2Fdp%2FB0B7R7FF23%2Fref%3Dsr_1_65_sspa%3Fcrid%3D38NAIC5XOXF0C%26dib%3DeyJ2IjoiMSJ9.Jeb-SGoqDVPyW2N954WrvNkAClyfgKC8r8-b5QyquC_vU1zNvnDFIln9sEkV_vVV1dLtZPL7NhkAgfM9c_T3PYiaZSUB7nVVcNTnI3ICTu2F1BQBrtGx_hzB05oIcoNBWu_oTOiNbY3GI1tmzcXrYuZk-qO92D7gVnzh0YQ3IhVhu_8MCGBOvFzCXoblSQIvMZR37wqttJQE7QseUQ8WhVxkcRuPdGlLtk67Mx0pirg.49qr51J9pOGuNFuiIIuL6Tml4fQCnohHYJCQqo1Ubo4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722952053%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
12,"ASUS Vivobook S 16 OLED (2024), 16 ""(40.64cm) 3.2K OLED 16:10 120Hz, Intel Core Ultra 5 125H, Thin and Light Laptop (16GB LPDDR5X/1TB SSD/Intel Arc Graphics/Win11/Mist Blue/1.50 Kg), S5606MA-MX551WS  ","1,02,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDQwNjYzNTQyODQ0OTY6MTcyMjk1MjA1MzpzcF9hdGZfbmV4dDozMDAyODI3OTE1MTg4MzI6OjA6Og&url=%2FASUS-Vivobook-OLED-40-64cm-3-2K%2Fdp%2FB09T95ZTBP%2Fref%3Dsr_1_66_sspa%3Fcrid%3D38NAIC5XOXF0C%26dib%3DeyJ2IjoiMSJ9.Jeb-SGoqDVPyW2N954WrvNkAClyfgKC8r8-b5QyquC_vU1zNvnDFIln9sEkV_vVV1dLtZPL7NhkAgfM9c_T3PYiaZSUB7nVVcNTnI3ICTu2F1BQBrtGx_hzB05oIcoNBWu_oTOiNbY3GI1tmzcXrYuZk-qO92D7gVnzh0YQ3IhVhu_8MCGBOvFzCXoblSQIvMZR37wqttJQE7QseUQ8WhVxkcRuPdGlLtk67Mx0pirg.49qr51J9pOGuNFuiIIuL6Tml4fQCnohHYJCQqo1Ubo4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722952053%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
13,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  ","40,990",https://amazon.in//HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_7?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9._jZ9QFBb28xPE7lCy_IPG9wjiWrQxbOGQ0V19PNGL0b0iSnT3sIhGFJ6z7bbMS3q7wMqPg42avUD3AYQ_zVWKdvoyEwecl1xk66o0ARexuMWiCFo9cx7NHAj9qzJ07FZpCXK7nu8wdPiuQALY9V1iNSGjoGZBZMWbSApYKs1RuujeF-uGgRTPUZ09NxuzKE_r7exVmG53PJDBp2cwfJ839K0U3PHDzhWt8cXyCVG0so.rT613-TCo2dSfNB4sTdOqdEDuXiq6NBb2uVYCIZO9bg&dib_tag=se&keywords=laptop&qid=1722952032&sprefix=laptop%2Caps%2C202&sr=8-7
14,"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UCX-1693IN  ","61,990",https://amazon.in//MSI-i7-12650H-Windows-GeForce-B12UCX-1693IN/dp/B0CV8RGCPH/ref=sr_1_67?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.Jeb-SGoqDVPyW2N954WrvNkAClyfgKC8r8-b5QyquC_vU1zNvnDFIln9sEkV_vVV1dLtZPL7NhkAgfM9c_T3PYiaZSUB7nVVcNTnI3ICTu2F1BQBrtGx_hzB05oIcoNBWu_oTOiNbY3GI1tmzcXrYuZk-qO92D7gVnzh0YQ3IhVhu_8MCGBOvFzCXoblSQIvMZR37wqttJQE7QseUQ8WhVxkcRuPdGlLtk67Mx0pirg.49qr51J9pOGuNFuiIIuL6Tml4fQCnohHYJCQqo1Ubo4&dib_tag=se&keywords=laptop&qid=1722952053&sprefix=laptop%2Caps%2C202&sr=8-67
15,"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS  ","29,990",https://amazon.in//ASUS-Vivobook-Laptop-Office-E1404FA-NK325WS/dp/B0CCPC5DTD/ref=sr_1_68?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.Jeb-SGoqDVPyW2N954WrvNkAClyfgKC8r8-b5QyquC_vU1zNvnDFIln9sEkV_vVV1dLtZPL7NhkAgfM9c_T3PYiaZSUB7nVVcNTnI3ICTu2F1BQBrtGx_hzB05oIcoNBWu_oTOiNbY3GI1tmzcXrYuZk-qO92D7gVnzh0YQ3IhVhu_8MCGBOvFzCXoblSQIvMZR37wqttJQE7QseUQ8WhVxkcRuPdGlLtk67Mx0pirg.49qr51J9pOGuNFuiIIuL6Tml4fQCnohHYJCQqo1Ubo4&dib_tag=se&keywords=laptop&qid=1722952053&sprefix=laptop%2Caps%2C202&sr=8-68
16,"ASUS TUF F17 Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) 144Hz, (8GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), â€ŽFX706HF-HX018W  ","48,990",https://amazon.in//ASUS-i5-11400H-17-3-inch-GeForce-FX706HF-HX018W/dp/B0C27VNNWH/ref=sr_1_69?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.Jeb-SGoqDVPyW2N954WrvNkAClyfgKC8r8-b5QyquC_vU1zNvnDFIln9sEkV_vVV1dLtZPL7NhkAgfM9c_T3PYiaZSUB7nVVcNTnI3ICTu2F1BQBrtGx_hzB05oIcoNBWu_oTOiNbY3GI1tmzcXrYuZk-qO92D7gVnzh0YQ3IhVhu_8MCGBOvFzCXoblSQIvMZR37wqttJQE7QseUQ8WhVxkcRuPdGlLtk67Mx0pirg.49qr51J9pOGuNFuiIIuL6Tml4fQCnohHYJCQqo1Ubo4&dib_tag=se&keywords=laptop&qid=1722952053&sprefix=laptop%2Caps%2C202&sr=8-69
17,"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 3050 Graphics 6 GB VRAM, 144Hz Display (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51  ","65,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDcyNDc1OTk1MDgwNjM5OjE3MjI5NTIwNTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MjkwMTIwMTYzMjo6MDo6&url=%2FAcer-i5-13420H-Graphics-Display-ANV15-51%2Fdp%2FB0CQP1T2VW%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.1f8ca0b0-e229-4344-88d7-2d8f092a8eac%253Aamzn1.sym.1f8ca0b0-e229-4344-88d7-2d8f092a8eac%26crid%3D38NAIC5XOXF0C%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.IQISUkjuq_Qr55Iqe2LaXavbC8ZYWWpHRsNh4z69Aso-oNNv4q2Z8NhebLz9C9K3J4UJvfnOYCI67h5uVYQTzA.5dLE2Kj7z__keSbhMxvU0CQ6r6rWEDmtn7Y_q5dxZHc%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CQP1T2VW%26pd_rd_r%3Dc1c763a8-99f0-4ccb-861a-15747a09c1da%26pd_rd_w%3D3BVfz%26pd_rd_wg%3DJmNXL%26pf_rd_p%3D1f8ca0b0-e229-4344-88d7-2d8f092a8eac%26pf_rd_r%3D3RFHKWQ5V5Y5NQV7WP2S%26qid%3D1722952053%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D1-65-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
18,"HP Victus Gaming Laptop,12th Gen Intel Core i5-12450H,4GB RTX 3050 GPU,15.6-inch(39.6 cm),FHD,IPS,16GB DDR4,512GB SSD,Backlit KB,Dual Speakers (MSO, Blue,2.37 kg),fa0666TX/fa0444tx  ","65,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDcyNDc1OTk1MDgwNjM5OjE3MjI5NTIwNTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEyMDAxMTczMjIzMjo6MTo6&url=%2FHP-i5-12450H-15-6-inch-Response-fa0666TX%2Fdp%2FB0C2HZYM87%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.1f8ca0b0-e229-4344-88d7-2d8f092a8eac%253Aamzn1.sym.1f8ca0b0-e229-4344-88d7-2d8f092a8eac%26crid%3D38NAIC5XOXF0C%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.IQISUkjuq_Qr55Iqe2LaXavbC8ZYWWpHRsNh4z69Aso-oNNv4q2Z8NhebLz9C9K3J4UJvfnOYCI67h5uVYQTzA.5dLE2Kj7z__keSbhMxvU0CQ6r6rWEDmtn7Y_q5dxZHc%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0C2HZYM87%26pd_rd_r%3Dc1c763a8-99f0-4ccb-861a-15747a09c1da%26pd_rd_w%3D3BVfz%26pd_rd_wg%3DJmNXL%26pf_rd_p%3D1f8ca0b0-e229-4344-88d7-2d8f092a8eac%26pf_rd_r%3D3RFHKWQ5V5Y5NQV7WP2S%26qid%3D1722952053%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D1-66-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
19,"Acer ALG 12th Gen Intel Core i5 Gaming Laptop (16GB RAM/512GB SSD/6GB RTX 3050 Graphics/144Hz/Win11Home/Wifi 6) AL15G-52, 39.62cm (15.6 inch) FHD Display, Premium Metal Body, Steel Gray, 1.99KG  ","62,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDcyNDc1OTk1MDgwNjM5OjE3MjI5NTIwNTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MTUwMDA4OTIzMjo6Mjo6&url=%2FAcer-Graphics-Win11Home-AL15G-52-39-62cm%2Fdp%2FB0D32TY16C%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.1f8ca0b0-e229-4344-88d7-2d8f092a8eac%253Aamzn1.sym.1f8ca0b0-e229-4344-88d7-2d8f092a8eac%26crid%3D38NAIC5XOXF0C%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.IQISUkjuq_Qr55Iqe2LaXavbC8ZYWWpHRsNh4z69Aso-oNNv4q2Z8NhebLz9C9K3J4UJvfnOYCI67h5uVYQTzA.5dLE2Kj7z__keSbhMxvU0CQ6r6rWEDmtn7Y_q5dxZHc%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0D32TY16C%26pd_rd_r%3Dc1c763a8-99f0-4ccb-861a-15747a09c1da%26pd_rd_w%3D3BVfz%26pd_rd_wg%3DJmNXL%26pf_rd_p%3D1f8ca0b0-e229-4344-88d7-2d8f092a8eac%26pf_rd_r%3D3RFHKWQ5V5Y5NQV7WP2S%26qid%3D1722952053%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D1-67-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
